ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13754761,JJ156639,02/15/2025 01:30:00 AM,003XX N WELLS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA TRAIN,false,true,1831,018,42,8,08B,1174672,1902829,2025,02/23/2025 03:41:06 PM,41.888757117,-87.633988801,POINT (-87.633988801 41.888757117)
13749377,JJ150170,02/15/2025 01:30:00 AM,016XX W 61ST ST,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,false,true,0714,007,15,67,04A,1166240,1864253,2025,02/23/2025 03:41:06 PM,41.78308511,-87.666054626,POINT (-87.666054626 41.78308511)
13749382,JJ150192,02/15/2025 01:30:00 AM,003XX W CHICAGO AVE,0820,THEFT,$500 AND UNDER,STREET,false,true,1823,018,27,8,06,1173883,1905665,2025,02/23/2025 03:41:06 PM,41.89655687,-87.636801732,POINT (-87.636801732 41.89655687)
13749357,JJ150127,02/15/2025 01:28:00 AM,112XX S MICHIGAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,false,false,0531,005,9,49,14,1178807,1830266,2025,02/23/2025 03:41:06 PM,41.689543778,-87.621011519,POINT (-87.621011519 41.689543778)
13749312,JJ150126,02/15/2025 01:26:00 AM,017XX W CULLERTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1234,012,25,31,08B,1165034,1890453,2025,02/23/2025 03:41:06 PM,41.855006412,-87.669734367,POINT (-87.669734367 41.855006412)
13751373,JJ152633,02/15/2025 01:24:00 AM,044XX W DAKIN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1731,017,30,16,08B,1145591,1925741,2025,02/23/2025 03:41:06 PM,41.952230639,-87.740203802,POINT (-87.740203802 41.952230639)
13749350,JJ150130,02/15/2025 01:20:00 AM,015XX S FAIRFIELD AVE,0440,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",HOSPITAL BUILDING / GROUNDS,false,false,1023,010,28,29,08B,1158297,1892717,2025,02/23/2025 03:41:06 PM,41.861359279,-87.694400341,POINT (-87.694400341 41.861359279)
13749309,JJ150132,02/15/2025 01:07:00 AM,014XX E 69TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0332,003,5,43,08B,1187358,1859207,2025,02/23/2025 03:41:06 PM,41.76876266,-87.588790189,POINT (-87.588790189 41.76876266)
13749454,JJ150247,02/15/2025 01:00:00 AM,014XX W FLOURNOY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1231,012,34,28,08B,1166865,1897146,2025,02/23/2025 03:41:06 PM,41.873333547,-87.662821937,POINT (-87.662821937 41.873333547)
13750251,JJ151285,02/15/2025 01:00:00 AM,016XX S HAMLIN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1014,010,24,29,14,1151321,1891591,2025,02/23/2025 03:41:06 PM,41.85840901,-87.720037576,POINT (-87.720037576 41.85840901)
